"","total","expected","hits","Raw p","Holm p","FDR"
"Biosynthesis of unsaturated fatty acids",36,0.327,5,9.06e-06,0.000725,0.000725
"Arachidonic acid metabolism",44,0.4,2,0.0585,1,1
"Primary bile acid biosynthesis",46,0.418,2,0.0633,1,1
"Butanoate metabolism",15,0.136,1,0.129,1,1
"Fructose and mannose metabolism",20,0.182,1,0.168,1,1
"Galactose metabolism",27,0.246,1,0.22,1,1
"Alanine, aspartate and glutamate metabolism",28,0.255,1,0.228,1,1
"Glycine, serine and threonine metabolism",33,0.3,1,0.263,1,1
"Arginine and proline metabolism",36,0.327,1,0.283,1,1
"Glycerophospholipid metabolism",36,0.327,1,0.283,1,1
"Tryptophan metabolism",41,0.373,1,0.316,1,1
"Purine metabolism",70,0.637,1,0.48,1,1
