"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0042645","NA","NA","NA","NA","NA","0"
"HMDB0008993","PE(18:0/18:1(9Z))","HMDB0008993","9546742","C00350","[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CCCCCCCC","1"
"HMDB0044121","NA","NA","NA","NA","NA","0"
"HMDB0044261","NA","NA","NA","NA","NA","0"
"HMDB0048749","NA","NA","NA","NA","NA","0"
"HMDB0008994","PE(18:0/18:2(9Z,12Z))","HMDB0008994","9546749","C00350","[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC","1"
"HMDB0009060","PE(18:1(9Z)/18:2(9Z,12Z))","HMDB0009060","9546753","C00350","[H][C@@](COC(=O)CCCCCCC\C=C/CCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC","1"
"HMDB0043925","NA","NA","NA","NA","NA","0"
"HMDB0005404","TG(18:0/18:1(9Z)/20:1(11Z))","HMDB0005404","25240375",NA,"[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC","1"
"HMDB0005396","TG(18:0/18:0/20:1(11Z))","HMDB0005396","9544351",NA,"[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC","1"
"HMDB0043375","NA","NA","NA","NA","NA","0"
"HMDB0043380","NA","NA","NA","NA","NA","0"
"HMDB0042811","NA","NA","NA","NA","NA","0"
"HMDB0047885","NA","NA","NA","NA","NA","0"
"HMDB0050322","NA","NA","NA","NA","NA","0"
"HMDB0042751","NA","NA","NA","NA","NA","0"
"HMDB0007041","DG(14:1(9Z)/16:1(9Z)/0:0)","HMDB0007041","53477976",NA,"[H][C@](CO)(COC(=O)CCCCCCC\C=C/CCCC)OC(=O)CCCCCCC\C=C/CCCCCC","1"
"HMDB0005393","TG(18:0/18:0/18:0)","HMDB0005393","11146",NA,"[H]C(COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC","1"
"HMDB0005403","TG(18:0/18:1(9Z)/18:1(9Z))","HMDB0005403","16058372",NA,"[H][C@](COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC","1"
"HMDB0042789","NA","NA","NA","NA","NA","0"
"HMDB0042548","NA","NA","NA","NA","NA","0"
"HMDB0005432","TG(16:1(9Z)/16:1(9Z)/16:1(9Z))","HMDB0005432","9543989",NA,"[H]C(COC(=O)CCCCCCC\C=C/CCCCCC)(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCC\C=C/CCCCCC","1"
"HMDB0099325","NA","NA","NA","NA","NA","0"
"HMDB0044713","NA","NA","NA","NA","NA","0"
"HMDB0010471","TG(18:2(9Z,12Z)/14:0/18:3(9Z,12Z,15Z))","HMDB0010471","53480527",NA,"[H][C@](COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)(COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCC","1"
"HMDB0047908","NA","NA","NA","NA","NA","0"
"HMDB0049905","NA","NA","NA","NA","NA","0"
