"","total","expected","hits","Raw p","Holm p","FDR"
"Biosynthesis of unsaturated fatty acids",11,1.35,5,0.00634,0.507,0.507
"Arachidonic acid metabolism",3,0.369,2,0.0413,1,1
"Fructose and mannose metabolism",2,0.246,1,0.231,1,1
"Primary bile acid biosynthesis",8,0.984,2,0.257,1,1
"Tryptophan metabolism",3,0.369,1,0.326,1,1
"Galactose metabolism",4,0.492,1,0.409,1,1
"Butanoate metabolism",4,0.492,1,0.409,1,1
"Purine metabolism",5,0.615,1,0.482,1,1
"Glycerophospholipid metabolism",5,0.615,1,0.482,1,1
"Glycine, serine and threonine metabolism",6,0.738,1,0.546,1,1
"Arginine and proline metabolism",6,0.738,1,0.546,1,1
"Alanine, aspartate and glutamate metabolism",8,0.984,1,0.652,1,1
