"","total","expected","hits","Raw p","Holm p","FDR"
"Biosynthesis of unsaturated fatty acids",36,0.327,6,2.8e-07,2.24e-05,2.24e-05
"Arachidonic acid metabolism",44,0.4,2,0.0585,1,1
"Butanoate metabolism",15,0.136,1,0.129,1,1
"Fructose and mannose metabolism",20,0.182,1,0.168,1,1
"Galactose metabolism",27,0.246,1,0.22,1,1
"Alanine, aspartate and glutamate metabolism",28,0.255,1,0.228,1,1
"Porphyrin metabolism",31,0.282,1,0.249,1,1
"Cysteine and methionine metabolism",33,0.3,1,0.263,1,1
"Arginine and proline metabolism",36,0.327,1,0.283,1,1
"Glycerophospholipid metabolism",36,0.327,1,0.283,1,1
"Fatty acid biosynthesis",47,0.428,1,0.353,1,1
"Purine metabolism",70,0.637,1,0.48,1,1
