"","total","expected","hits","Raw p","Holm p","FDR"
"Biosynthesis of unsaturated fatty acids",11,1.34,6,0.000755,0.0604,0.0604
"Arachidonic acid metabolism",3,0.364,2,0.0403,1,1
"Fructose and mannose metabolism",2,0.243,1,0.228,1,1
"Cysteine and methionine metabolism",3,0.364,1,0.322,1,1
"Galactose metabolism",4,0.486,1,0.405,1,1
"Butanoate metabolism",4,0.486,1,0.405,1,1
"Porphyrin metabolism",4,0.486,1,0.405,1,1
"Fatty acid biosynthesis",5,0.607,1,0.478,1,1
"Purine metabolism",5,0.607,1,0.478,1,1
"Glycerophospholipid metabolism",5,0.607,1,0.478,1,1
"Arginine and proline metabolism",6,0.729,1,0.542,1,1
"Alanine, aspartate and glutamate metabolism",8,0.972,1,0.647,1,1
