"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0010393","LysoPC(20:3/0:0)","HMDB0010393","53480467","C04230","CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C","1"
"HMDB0029723","Saccharin","HMDB0029723","5143","C12283","OC1=NS(=O)(=O)C2=CC=CC=C12","1"
"HMDB0011516","LysoPE(20:3(8Z,11Z,14Z)/0:0)","HMDB0011516","52925141",NA,"[H][C@@](O)(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP(O)(=O)OCCN","1"
"HMDB0011506","LysoPE(18:1(9Z)/0:0)","HMDB0011506","9547071",NA,"[H][C@@](O)(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP(O)(=O)OCCN","1"
"HMDB0010404","LysoPC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","HMDB0010404","10415542","C04230","[H][C@@](O)(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"HMDB0042063","NA","NA","NA","NA","NA","0"
"HMDB0011507","LysoPE(18:2(9Z,12Z)/0:0)","HMDB0011507","52925130",NA,"[H][C@@](O)(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP(O)(=O)OCCN","1"
"HMDB0011477","LysoPE(0:0/18:2(9Z,12Z))","HMDB0011477","53480926",NA,"[H][C@@](CO)(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC","1"
"HMDB0042301","NA","NA","NA","NA","NA","0"
"HMDB0000247","Sorbitol","HMDB0000247","5780","C00794","OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","1"
"HMDB0010386","LysoPC(18:2/0:0)","HMDB0010386","11005824","C04230","CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C","1"
"HMDB0011487","LysoPE(0:0/20:4(5Z,8Z,11Z,14Z))","HMDB0011487","53480936",NA,"[H][C@@](CO)(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"HMDB0042068","NA","NA","NA","NA","NA","0"
"HMDB0010403","LysoPC(22:5(7Z,10Z,13Z,16Z,19Z)/0:0)","HMDB0010403","53480475","C04230","CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCCC(=O)OC[C@](O)([H])COP([O-])(=O)OCC[N+](C)(C)C","1"
"HMDB0000482","Caprylic acid","HMDB0000482","379","C06423","CCCCCCCC(O)=O","1"
"HMDB0042099","NA","NA","NA","NA","NA","0"
"HMDB0042093","NA","NA","NA","NA","NA","0"
"HMDB0007170","DG(18:0/20:4(5Z,8Z,11Z,14Z)/0:0)","HMDB0007170","6438587","C00165","[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"HMDB0005356","TG(16:0_32:0)","HMDB0005356","11147",NA,"[H]C(COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC","1"
"HMDB0042278","NA","NA","NA","NA","NA","0"
"HMDB0042751","NA","NA","NA","NA","NA","0"
"HMDB0011526","LysoPE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)","HMDB0011526","52925132",NA,"[H][C@@](O)(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP(O)(=O)OCCN","1"
"HMDB0099325","NA","NA","NA","NA","NA","0"
"HMDB0010401","LysoPC(22:4(7Z,10Z,13Z,16Z)/0:0)","HMDB0010401","52924039","C04230","CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCCC(=O)OC[C@](O)([H])COP([O-])(=O)OCC[N+](C)(C)C","1"
"HMDB0008993","PE(18:0/18:1(9Z))","HMDB0008993","9546742","C00350","[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CCCCCCCC","1"
"HMDB0007012","DG(14:0/16:1(9Z)/0:0)","HMDB0007012","53477950",NA,"[H][C@](CO)(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCC","1"
"HMDB0005365","TG(16:0/18:0/18:0)","HMDB0005365","99647664",NA,"[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC","1"
"HMDB0072780","NA","NA","NA","NA","NA","0"
"HMDB0042098","NA","NA","NA","NA","NA","0"
