Exposure,beta,se,p,anovaF,anovaP,Effect,lowCI,upCI,Outcome,Beta.SE,P,P_signif,anovaP_signif,outcome
Time_120,1.49592604175853e-05,0.0205524771525683,0.999423773009933,,,Main,-0.0402678959586162,0.0402978144794514,alpha-Tocoquinone,"0 (0, 0)",0.999,0.999,,HMDB0034408
Time_235,0.0107827055310231,0.0205524771525683,0.60344752826634,,,Main,-0.0295001496880107,0.0510655607500569,alpha-Tocoquinone,"0 (0, 0.1)",0.603,0.603,,HMDB0034408
Time_(joint),,,,0.183245698250154,0.833431054108722,Main,,,alpha-Tocoquinone,"NA (NA, NA)",,,0.833,HMDB0034408
Time_120,-0.106092293903745,0.0436917113796031,0.0209739929685133,,,Main,-0.191728048207767,-0.0204565395997228,2-Hydroxycaproic and or 2-Hydroxyisocaproic acid,"-0.1 (-0.2, 0)",0.021,0.021*,,HMDB0000317
Time_235,-0.115624487461614,0.0436917113796031,0.0125138206523477,,,Main,-0.201260241765636,-0.0299887331575916,2-Hydroxycaproic and or 2-Hydroxyisocaproic acid,"-0.1 (-0.2, 0)",0.013,0.013*,,HMDB0000317
Time_(joint),,,,4.3156808902537,0.0219087500373924,Main,,,2-Hydroxycaproic and or 2-Hydroxyisocaproic acid,"NA (NA, NA)",,,0.022*,HMDB0000317
Time_120,-0.0639116844826433,0.270915547554789,0.815005929751148,,,Main,-0.59490615769003,0.467082788724744,Sphingosine,"-0.1 (-0.6, 0.5)",0.815,0.815,,HMDB0000252
Time_235,0.556295104526199,0.270915547554789,0.0482836824566293,,,Main,0.0253006313188121,1.08728957773359,Sphingosine,"0.6 (0, 1.1)",0.048,0.048*,,HMDB0000252
Time_(joint),,,,3.17098432100478,0.055412677722675,Main,,,Sphingosine,"NA (NA, NA)",,,0.055,HMDB0000252
Time_120,-0.0302701818821172,0.0216100960001749,0.170914071904894,,,Main,-0.0726259700424601,0.0120856062782257,LPC 14:0/0:0,"0 (-0.1, 0)",0.171,0.171,,HMDB0010379
Time_235,-0.136292978761397,0.0216100960001749,4.47723638954253e-07,,,Main,-0.17864876692174,-0.0939371906010541,LPC 14:0/0:0,"-0.1 (-0.2, -0.1)",4.5e-07,4.5e-07***,,HMDB0010379
Time_(joint),,,,21.9365740700948,1.00228209745436e-06,Main,,,LPC 14:0/0:0,"NA (NA, NA)",,,1e-06***,HMDB0010379
Time_120,0.0249103596823999,0.0392587121560886,0.530253413636205,,,Main,-0.0520367161435338,0.101857435508334,LPC 18:3/0:0,"0 (-0.1, 0.1)",0.53,0.53,,HMDB0010387
Time_235,-0.00353631878879815,0.0392587121560886,0.928787247485,,,Main,-0.0804833946147318,0.0734107570371355,LPC 18:3/0:0,"0 (-0.1, 0.1)",0.929,0.929,,HMDB0010387
Time_(joint),,,,0.311921790727373,0.734239313719801,Main,,,LPC 18:3/0:0,"NA (NA, NA)",,,0.734,HMDB0010387
Time_120,-0.0432178894069916,0.0189737390353701,0.02956114806847,,,Main,-0.0804064179163171,-0.00602936089766618,LPC 16:1/0:0,"0 (-0.1, 0)",0.03,0.03*,,HMDB0010383
Time_235,-0.140088500315204,0.0189737390353701,2.12889431451794e-08,,,Main,-0.177277028824529,-0.102899971805878,LPC 16:1/0:0,"-0.1 (-0.2, -0.1)",2.1e-08,2.1e-08***,,HMDB0010383
Time_(joint),,,,28.5891215849085,7.55539288029056e-08,Main,,,LPC 16:1/0:0,"NA (NA, NA)",,,7.6e-08***,HMDB0010383
Time_120,-0.0242754197093628,0.0195976421733184,0.224469732512833,,,Main,-0.0626867983690669,0.0141359589503413,LPC 15:0/0:0,"0 (-0.1, 0)",0.224,0.224,,HMDB0010381
Time_235,-0.133302093781945,0.0195976421733184,1.08859729360774e-07,,,Main,-0.171713472441649,-0.0948907151222405,LPC 15:0/0:0,"-0.1 (-0.2, -0.1)",1.1e-07,1.1e-07***,,HMDB0010381
Time_(joint),,,,26.2502065966388,1.78919768946218e-07,Main,,,LPC 15:0/0:0,"NA (NA, NA)",,,1.8e-07***,HMDB0010381
Time_120,0.415580296274272,0.0817769704824182,1.56619461491403e-05,,,Main,0.255297434128732,0.575863158419811,LPE 0:0/18:2,"0.4 (0.3, 0.6)",1.6e-05,1.6e-05***,,HMDB0011477
Time_235,0.657711290240557,0.0817769704824182,3.49730417046655e-09,,,Main,0.497428428095018,0.817994152386097,LPE 0:0/18:2,"0.7 (0.5, 0.8)",3.5e-09,3.5e-09***,,HMDB0011477
Time_(joint),,,,33.0926471030688,1.62052790859622e-08,Main,,,LPE 0:0/18:2,"NA (NA, NA)",,,1.6e-08***,HMDB0011477
Time_120,-0.0102594701310307,0.058387785643694,0.861626946458533,,,Main,-0.124699529992671,0.10418058973061,LPE 0:0/20:4,"0 (-0.1, 0.1)",0.862,0.862,,HMDB0011487
Time_235,0.098093958734372,0.058387785643694,0.102687625923734,,,Main,-0.0163461011272683,0.212534018596012,LPE 0:0/20:4,"0.1 (0, 0.2)",0.103,0.103,,HMDB0011487
Time_(joint),,,,2.09908147593499,0.13912819827581,Main,,,LPE 0:0/20:4,"NA (NA, NA)",,,0.139,HMDB0011487
Time_120,-0.081337218326562,0.059446047014512,0.180764052246126,,,Main,-0.197851470475006,0.0351770338218816,Cer 18:1;O2/15:0,"-0.1 (-0.2, 0)",0.181,0.181,,HMDB0240685
Time_235,-0.0612698410963725,0.059446047014512,0.310418540500537,,,Main,-0.177784093244816,0.055244411052071,Cer 18:1;O2/15:0,"-0.1 (-0.2, 0.1)",0.31,0.31,,HMDB0240685
Time_(joint),,,,1.01612400745727,0.373378625109321,Main,,,Cer 18:1;O2/15:0,"NA (NA, NA)",,,0.373,HMDB0240685
Time_120,0.023159700226559,0.0345153796629134,0.507037521901729,,,Main,-0.0444904439127512,0.0908098443658692,MG 14:0,"0 (0, 0.1)",0.507,0.507,,HMDB0011561
Time_235,-0.0277550457244197,0.0345153796629134,0.427252447583161,,,Main,-0.0954051898637299,0.0398950984148904,MG 14:0,"0 (-0.1, 0)",0.427,0.427,,HMDB0011561
Time_(joint),,,,1.09096175416324,0.348061257867286,Main,,,MG 14:0,"NA (NA, NA)",,,0.348,HMDB0011561
Time_120,-0.329584935782146,0.217463143928096,0.139439914898904,,,Main,-0.755812697881215,0.0966428263169217,Indolelactic acid,"-0.3 (-0.8, 0.1)",0.139,0.139,,HMDB0000671
Time_235,-0.214675759901246,0.217463143928096,0.330959223093263,,,Main,-0.640903522000314,0.211552002197822,Indolelactic acid,"-0.2 (-0.6, 0.2)",0.331,0.331,,HMDB0000671
Time_(joint),,,,1.18358534564463,0.319226674820982,Main,,,Indolelactic acid,"NA (NA, NA)",,,0.319,HMDB0000671
Time_120,0.103750053117294,0.0465096781639921,0.032835589099563,,,Main,0.0125910839158699,0.194909022318719,LPC 18:2/0:0,"0.1 (0, 0.2)",0.033,0.033*,,HMDB0010386
Time_235,0.158396311826304,0.0465096781639921,0.00179540153653887,,,Main,0.0672373426248791,0.249555281027728,LPC 18:2/0:0,"0.2 (0.1, 0.2)",1.8e-03,1.8e-03**,,HMDB0010386
Time_(joint),,,,5.98504893137171,0.00619270992092136,Main,,,LPC 18:2/0:0,"NA (NA, NA)",,,6.2e-03**,HMDB0010386
