Exposure,outcome,Outcome,beta,se,p,anovaP,Effect,lowCI,upCI
HC Genotype x Time_120,HMDB0034408,alpha-Tocoquinone,0.0215088549958821,0.0422956804430558,0.614797409725704,,Interaction,-0.0613906786725072,0.104408388664271
HC Genotype x Time_235,HMDB0034408,alpha-Tocoquinone,0.00106734134618087,0.0422956804430558,0.98003444906287,,Interaction,-0.0818321923222085,0.0839668750145702
HC Genotype x Time_(joint),HMDB0034408,alpha-Tocoquinone,,,,0.849266921135592,Interaction,,
HC Genotype x Time_120,HMDB0000317,2-Hydroxycaproic and,0.146763919748277,0.0862171169739511,0.0990488661977826,,Interaction,-0.0222216295206668,0.315749469017222
HC Genotype x Time_235,HMDB0000317,2-Hydroxycaproic and,0.0512237170689956,0.0862171169739511,0.556882860791769,,Interaction,-0.117761832199949,0.22020926633794
HC Genotype x Time_(joint),HMDB0000317,2-Hydroxycaproic and,,,,0.240947282542757,Interaction,,
HC Genotype x Time_120,HMDB0000252,Sphingosine,0.0295646994848286,0.557391665280843,0.958050747236801,,Interaction,-1.06292296446562,1.12205236343528
HC Genotype x Time_235,HMDB0000252,Sphingosine,0.296436103459739,0.557391665280844,0.598762240305814,,Interaction,-0.796051560490715,1.38892376741019
HC Genotype x Time_(joint),HMDB0000252,Sphingosine,,,,0.843112002852091,Interaction,,
HC Genotype x Time_120,HMDB0010379,LPC 14:0/0:0,-0.00374122306423362,0.0430418823764051,0.931312263865637,,Interaction,-0.0881033125219876,0.0806208663935203
HC Genotype x Time_235,HMDB0010379,LPC 14:0/0:0,0.0555160241866966,0.0430418823764051,0.2069700645381,,Interaction,-0.0288460652710574,0.13987811364445
HC Genotype x Time_(joint),HMDB0010379,LPC 14:0/0:0,,,,0.318511962181594,Interaction,,
HC Genotype x Time_120,HMDB0010387,LPC 18:3/0:0,-0.0586923163324196,0.0805069392536527,0.471634322920198,,Interaction,-0.216485917269579,0.0991012846047396
HC Genotype x Time_235,HMDB0010387,LPC 18:3/0:0,-0.0216611875527894,0.0805069392536526,0.789725459083925,,Interaction,-0.179454788489949,0.13613241338437
HC Genotype x Time_(joint),HMDB0010387,LPC 18:3/0:0,,,,0.763847836865172,Interaction,,
HC Genotype x Time_120,HMDB0010383,LPC 16:1/0:0,0.0123481579117718,0.0366206531580862,0.738320653204064,,Interaction,-0.0594283222780772,0.0841246381016208
HC Genotype x Time_235,HMDB0010383,LPC 16:1/0:0,0.0724446145507259,0.0366206531580862,0.0571482986207194,,Interaction,0.000668134360876968,0.144221094740575
HC Genotype x Time_(joint),HMDB0010383,LPC 16:1/0:0,,,,0.123960656560493,Interaction,,
HC Genotype x Time_120,HMDB0010381,LPC 15:0/0:0,0.00544971479240465,0.0386434853744943,0.888792548952638,,Interaction,-0.0702915165416042,0.0811909461264135
HC Genotype x Time_235,HMDB0010381,LPC 15:0/0:0,0.0608330218586789,0.0386434853744943,0.125926868861012,,Interaction,-0.0149082094753299,0.136574253192688
HC Genotype x Time_(joint),HMDB0010381,LPC 15:0/0:0,,,,0.235647564496949,Interaction,,
HC Genotype x Time_120,HMDB0011477,LPE 0:0/18:2,0.121436898629959,0.163400783869913,0.463150757754392,,Interaction,-0.198828637755071,0.441702435014988
HC Genotype x Time_235,HMDB0011477,LPE 0:0/18:2,0.240775381791075,0.163400783869913,0.151025377062469,,Interaction,-0.079490154593954,0.561040918176105
HC Genotype x Time_(joint),HMDB0011477,LPE 0:0/18:2,,,,0.350576275793145,Interaction,,
HC Genotype x Time_120,HMDB0011487,LPE 0:0/20:4,0.182695647511825,0.114385218714956,0.120703284134378,,Interaction,-0.0414993811694895,0.406890676193139
HC Genotype x Time_235,HMDB0011487,LPE 0:0/20:4,0.186165595555548,0.114385218714956,0.114083171437137,,Interaction,-0.0380294331257665,0.410360624236862
HC Genotype x Time_(joint),HMDB0011487,LPE 0:0/20:4,,,,0.193876871252855,Interaction,,
HC Genotype x Time_120,HMDB0240685,Cer 18:1;O2/15:0,0.0757056262315308,0.12116821975742,0.536827371164091,,Interaction,-0.161784084493013,0.313195336956075
HC Genotype x Time_235,HMDB0240685,Cer 18:1;O2/15:0,-0.0382278394834784,0.12116821975742,0.754570970614804,,Interaction,-0.275717550208022,0.199261871241066
HC Genotype x Time_(joint),HMDB0240685,Cer 18:1;O2/15:0,,,,0.636885460113078,Interaction,,
HC Genotype x Time_120,HMDB0011561,MG 14:0,-0.104386951375161,0.0677655888553001,0.133942744278868,,Interaction,-0.237207505531549,0.0284336027812275
HC Genotype x Time_235,HMDB0011561,MG 14:0,-0.109347536190497,0.0677655888553002,0.117082149629375,,Interaction,-0.242168090346885,0.0234730179658913
HC Genotype x Time_(joint),HMDB0011561,MG 14:0,,,,0.207007361221344,Interaction,,
HC Genotype x Time_120,HMDB0000671,Indolelactic acid,0.284044387166891,0.439326553933672,0.522842521034191,,Interaction,-0.577035658543107,1.14512443287689
HC Genotype x Time_235,HMDB0000671,Indolelactic acid,0.532454736604438,0.439326553933672,0.234979699294801,,Interaction,-0.328625309105559,1.39353478231444
HC Genotype x Time_(joint),HMDB0000671,Indolelactic acid,,,,0.487688657384629,Interaction,,
HC Genotype x Time_120,HMDB0010386,LPC 18:2/0:0,-0.0483652904465768,0.0956964537797039,0.616968932913238,,Interaction,-0.235930339854796,0.139199758961643
HC Genotype x Time_235,HMDB0010386,LPC 18:2/0:0,-0.000134548693511688,0.0956964537797039,0.998887486978583,,Interaction,-0.187699598101731,0.187430500714708
HC Genotype x Time_(joint),HMDB0010386,LPC 18:2/0:0,,,,0.844625645047847,Interaction,,
HC Genotype x Time_120,HMDB0010404,LPC 22:6/0:0,0.0886561020844372,0.0920438348780828,0.343150193737235,,Interaction,-0.0917498142766052,0.26906201844548
HC Genotype x Time_235,HMDB0010404,LPC 22:6/0:0,0.126273515279209,0.0920438348780829,0.180272267488166,,Interaction,-0.0541324010818338,0.306679431640251
HC Genotype x Time_(joint),HMDB0010404,LPC 22:6/0:0,,,,0.382572144754536,Interaction,,
HC Genotype x Time_120,HMDB0011507,LPE 18:2/0:0,0.0611988285734912,0.118186196450319,0.608383729018302,,Interaction,-0.170446116469134,0.292843773616116
HC Genotype x Time_235,HMDB0011507,LPE 18:2/0:0,0.147485902753691,0.118186196450319,0.221716301363279,,Interaction,-0.0841590422889342,0.379130847796316
HC Genotype x Time_(joint),HMDB0011507,LPE 18:2/0:0,,,,0.464755781149076,Interaction,,
HC Genotype x Time_120,HMDB0011526,LPE 22:6/0:0,0.188855090493689,0.145440986775897,0.204009086535402,,Interaction,-0.0962092435870698,0.473919424574448
HC Genotype x Time_235,HMDB0011526,LPE 22:6/0:0,0.236859947661721,0.145440986775897,0.113863340558792,,Interaction,-0.048204386419038,0.52192428174248
HC Genotype x Time_(joint),HMDB0011526,LPE 22:6/0:0,,,,0.243250439874837,Interaction,,
HC Genotype x Time_120,HMDB0010395,LPC 20:4/0:0,0.0273181909687975,0.0718874453265689,0.706612652946146,,Interaction,-0.113581201871278,0.168217583808873
HC Genotype x Time_235,HMDB0010395,LPC 20:4/0:0,0.0509112549334653,0.0718874453265689,0.484282896775242,,Interaction,-0.0899881379066099,0.19181064777354
HC Genotype x Time_(joint),HMDB0010395,LPC 20:4/0:0,,,,0.779466084539203,Interaction,,
HC Genotype x Time_120,HMDB0011517,LPE 20:4/0:0,0.345859947769557,0.262270891751079,0.197244004094471,,Interaction,-0.168191000062557,0.859910895601671
HC Genotype x Time_235,HMDB0011517,LPE 20:4/0:0,0.694071783758441,0.262270891751079,0.0128315851614624,,Interaction,0.180020835926326,1.20812273159056
HC Genotype x Time_(joint),HMDB0011517,LPE 20:4/0:0,,,,0.0429724978973961,Interaction,,
HC Genotype x Time_120,HMDB0011473,LPE 0:0/16:0,0.142819823998846,0.119614130506643,0.241832204389789,,Interaction,-0.091623871794173,0.377263519791866
HC Genotype x Time_235,HMDB0011473,LPE 0:0/16:0,0.397183967787422,0.119614130506643,0.00236893239757129,,Interaction,0.162740271994402,0.631627663580441
HC Genotype x Time_(joint),HMDB0011473,LPE 0:0/16:0,,,,0.00822361725256448,Interaction,,
HC Genotype x Time_120,HMDB0010382,LPC 16:0/0:0,-0.00591142182872414,0.0393503244286708,0.881592205873777,,Interaction,-0.0830380577089188,0.0712152140514705
HC Genotype x Time_235,HMDB0010382,LPC 16:0/0:0,0.0723188019806031,0.0393503244286708,0.0760110318091461,,Interaction,-0.00480783389959154,0.149445437860798
HC Genotype x Time_(joint),HMDB0010382,LPC 16:0/0:0,,,,0.10330699211209,Interaction,,
HC Genotype x Time_120,HMDB0001855,5-Hydroxytryptophol,-0.030784077150312,0.118374891762785,0.796597250899994,,Interaction,-0.262798865005371,0.201230710704747
HC Genotype x Time_235,HMDB0001855,5-Hydroxytryptophol,0.0731755434550397,0.118374891762785,0.541129704922051,,Interaction,-0.158839244400019,0.305190331310098
HC Genotype x Time_(joint),HMDB0001855,5-Hydroxytryptophol,,,,0.669256134863411,Interaction,,
HC Genotype x Time_120,HMDB0011503,LPE 16:0/0:0,0.0092754669183157,0.0716855409716823,0.897911869084976,,Interaction,-0.131228193386182,0.149779127222813
HC Genotype x Time_235,HMDB0011503,LPE 16:0/0:0,0.121290487718364,0.0716855409716823,0.101013149123367,,Interaction,-0.0192131725861337,0.261794148022861
HC Genotype x Time_(joint),HMDB0011503,LPE 16:0/0:0,,,,0.187033803770528,Interaction,,
HC Genotype x Time_120,HMDB0034146,Stearamide,0.00703079977852404,0.069043808939377,0.919568412564252,,Interaction,-0.128295065742655,0.142356665299703
HC Genotype x Time_235,HMDB0034146,Stearamide,-0.0343173281913888,0.069043808939377,0.62278609071115,,Interaction,-0.169643193712568,0.10100853732979
HC Genotype x Time_(joint),HMDB0034146,Stearamide,,,,0.815495168350435,Interaction,,
HC Genotype x Time_120,HMDB0010393,LPC 20:3/0:0,0.0291279674129603,0.086063164066732,0.737382411237972,,Interaction,-0.139555834157834,0.197811768983755
HC Genotype x Time_235,HMDB0010393,LPC 20:3/0:0,0.0939580633685211,0.086063164066732,0.283640612927164,,Interaction,-0.0747257382022737,0.262641864939316
HC Genotype x Time_(joint),HMDB0010393,LPC 20:3/0:0,,,,0.542282685189057,Interaction,,
HC Genotype x Time_120,HMDB0011516,LPE 20:3/0:0,0.0488145473393595,0.226187255303838,0.830592804490973,,Interaction,-0.394512473056163,0.492141567734882
HC Genotype x Time_235,HMDB0011516,LPE 20:3/0:0,0.161863834592452,0.226187255303838,0.47976000977747,,Interaction,-0.28146318580307,0.605190854987974
HC Genotype x Time_(joint),HMDB0011516,LPE 20:3/0:0,,,,0.765593150440852,Interaction,,
HC Genotype x Time_120,HMDB0011563,MG 15:0,-0.0836526615612384,0.0560289896033947,0.145874104162121,,Interaction,-0.193469481183892,0.0261641580614152
HC Genotype x Time_235,HMDB0011563,MG 15:0,-0.106151325897584,0.0560289896033947,0.0678235723376044,,Interaction,-0.215968145520238,0.00366549372506904
HC Genotype x Time_(joint),HMDB0011563,MG 15:0,,,,0.153892079608261,Interaction,,
HC Genotype x Time_120,HMDB0029377,Piperine,-0.140664962885707,0.14663060193994,0.345068220839052,,Interaction,-0.428060942687989,0.146731016916574
HC Genotype x Time_235,HMDB0029377,Piperine,-0.137680078063201,0.14663060193994,0.35525084588073,,Interaction,-0.425076057865483,0.149715901739081
HC Genotype x Time_(joint),HMDB0029377,Piperine,,,,0.554847610403496,Interaction,,
HC Genotype x Time_120,HMDB0010403,LPC 22:5/0:0,0.122554850042178,0.103668859239486,0.246421485305748,,Interaction,-0.0806361140672138,0.32574581415157
HC Genotype x Time_235,HMDB0010403,LPC 22:5/0:0,0.146476702833015,0.103668859239486,0.167968328117417,,Interaction,-0.0567142612763771,0.349667666942406
HC Genotype x Time_(joint),HMDB0010403,LPC 22:5/0:0,,,,0.33049400702859,Interaction,,
HC Genotype x Time_120,HMDB0002815,LPC 18:1/0:0,0.0142217225034593,0.0553090160741917,0.798832252947532,,Interaction,-0.0941839490019563,0.122627394008875
HC Genotype x Time_235,HMDB0002815,LPC 18:1/0:0,0.0578264561906985,0.0553090160741917,0.30413604921746,,Interaction,-0.0505792153147172,0.166232127696114
HC Genotype x Time_(joint),HMDB0002815,LPC 18:1/0:0,,,,0.558698223463848,Interaction,,
HC Genotype x Time_120,HMDB0011568,MG 18:2,0.00169626194739371,0.163109457010766,0.991771374472302,,Interaction,-0.317998273793707,0.321390797688494
HC Genotype x Time_235,HMDB0011568,MG 18:2,0.0822042971636135,0.163109457010766,0.617955047375259,,Interaction,-0.237490238577487,0.401898832904714
