Exposure,beta,se,p,anovaF,anovaP,Effect,lowCI,upCI,Outcome,Beta.SE,P,P_signif,anovaP_signif,outcome,model
Genotype_HC Genotype_,0.137078744322732,1.13800748484329,0.906607048414973,,,Main,-2.09341592597011,2.36757341461557,HMDB0001857,"0.1 (-2.1, 2.4)",0.907,0.907,,"1,3-Dimethyluric acid",bmi
Genotype_HC Genotype_ x time120,0.00313044084277762,0.351272073777637,0.99294856435664,,,Interaction,-0.685362823761391,0.691623705446946,HMDB0001857,"0 (-0.7, 0.7)",0.993,0.993,,"1,3-Dimethyluric acid",bmi
Genotype_HC Genotype_ x time235,-0.402139226420438,0.351272073777637,0.261340105937765,,,Interaction,-1.09063249102461,0.28635403818373,HMDB0001857,"-0.4 (-1.1, 0.3)",0.261,0.261,,"1,3-Dimethyluric acid",bmi
Genotype_(joint),,,,1.32482501018431e-05,0.997175256710581,Main,,,HMDB0001857,"NA (NA, NA)",,,0.997,"1,3-Dimethyluric acid",bmi
Genotype_ x time(joint),,,,0.880578632472103,0.42498543626566,Interaction,,,HMDB0001857,"NA (NA, NA)",,,0.425,"1,3-Dimethyluric acid",bmi
Genotype_HC Genotype_,0.144584743951296,1.10030028186607,0.89789067839799,,,Main,-2.0120038085062,2.30117329640879,HMDB0001857,"0.1 (-2, 2.3)",0.898,0.898,,"1,3-Dimethyluric acid",primary
Genotype_HC Genotype_ x time120,0.00313044084278565,0.351272077056506,0.992948564422974,,,Interaction,-0.685362830187966,0.691623711873538,HMDB0001857,"0 (-0.7, 0.7)",0.993,0.993,,"1,3-Dimethyluric acid",primary
Genotype_HC Genotype_ x time235,-0.402139226420421,0.351272077056506,0.261340110377054,,,Interaction,-1.09063249745117,0.286354044610332,HMDB0001857,"-0.4 (-1.1, 0.3)",0.261,0.261,,"1,3-Dimethyluric acid",primary
Genotype_(joint),,,,0.000114694581915256,0.991665819476451,Main,,,HMDB0001857,"NA (NA, NA)",,,0.992,"1,3-Dimethyluric acid",primary
Genotype_ x time(joint),,,,0.880578616032921,0.424985442957275,Interaction,,,HMDB0001857,"NA (NA, NA)",,,0.425,"1,3-Dimethyluric acid",primary
Genotype_HC Genotype_,0.366716503912233,1.66860662559081,0.830687873870928,,,Main,-2.90375248224576,3.63718549007022,HMDB0000699,"0.4 (-2.9, 3.6)",0.831,0.831,,1-Methyl nicotinamide,bmi
Genotype_HC Genotype_ x time120,0.145828899759429,0.481788803904399,0.764220898642525,,,Interaction,-0.798477155893192,1.09013495541205,HMDB0000699,"0.1 (-0.8, 1.1)",0.764,0.764,,1-Methyl nicotinamide,bmi
Genotype_HC Genotype_ x time235,0.359903906114949,0.481788803904399,0.460869005777857,,,Interaction,-0.584402149537673,1.30420996176757,HMDB0000699,"0.4 (-0.6, 1.3)",0.461,0.461,,1-Methyl nicotinamide,bmi
Genotype_(joint),,,,0.105856312330223,0.752348247929259,Main,,,HMDB0000699,"NA (NA, NA)",,,0.752,1-Methyl nicotinamide,bmi
Genotype_ x time(joint),,,,0.282360582849763,0.755983380360979,Interaction,,,HMDB0000699,"NA (NA, NA)",,,0.756,1-Methyl nicotinamide,bmi
Genotype_HC Genotype_,0.348411400561944,1.66070663474475,0.837810181458424,,,Main,-2.90657360353777,3.60339640466166,HMDB0000699,"0.3 (-2.9, 3.6)",0.838,0.838,,1-Methyl nicotinamide,primary
Genotype_HC Genotype_ x time120,0.145828899759448,0.481788803278772,0.764220898342846,,,Interaction,-0.798477154666946,1.09013495418584,HMDB0000699,"0.1 (-0.8, 1.1)",0.764,0.764,,1-Methyl nicotinamide,primary
Genotype_HC Genotype_ x time235,0.359903906114963,0.481788803278772,0.460869005192795,,,Interaction,-0.58440214831143,1.30420996054136,HMDB0000699,"0.4 (-0.6, 1.3)",0.461,0.461,,1-Methyl nicotinamide,primary
Genotype_(joint),,,,0.0997091319675445,0.758670653472223,Main,,,HMDB0000699,"NA (NA, NA)",,,0.759,1-Methyl nicotinamide,primary
Genotype_ x time(joint),,,,0.282360583583101,0.755983379814078,Interaction,,,HMDB0000699,"NA (NA, NA)",,,0.756,1-Methyl nicotinamide,primary
Genotype_HC Genotype_,0.0359599357626313,0.0455788256106445,0.445862315560593,,,Main,-0.0533745624342319,0.125294433959495,HMDB0003282,"0 (-0.1, 0.1)",0.446,0.446,,1-Methylguanine,bmi
Genotype_HC Genotype_ x time120,-0.017286057897156,0.0278684325430981,0.539761193072692,,,Interaction,-0.0719081856816284,0.0373360698873164,HMDB0003282,"0 (-0.1, 0)",0.54,0.54,,1-Methylguanine,bmi
Genotype_HC Genotype_ x time235,0.00669606782879329,0.0278684325430981,0.811751961102166,,,Interaction,-0.0479260599556791,0.0613181956132657,HMDB0003282,"0 (0, 0.1)",0.812,0.812,,1-Methylguanine,bmi
Genotype_(joint),,,,0.578319643743641,0.466426526609423,Main,,,HMDB0003282,"NA (NA, NA)",,,0.466,1-Methylguanine,bmi
Genotype_ x time(joint),,,,0.394338088582776,0.677569084281748,Interaction,,,HMDB0003282,"NA (NA, NA)",,,0.678,1-Methylguanine,bmi
