genotype,Exposure,outcome,Outcome,beta,se,p,anovaP,Effect,lowCI,upCI
HC genotype,Time_120,HMDB0034408,alpha-Tocoquinone,0.0101367733761195,0.0211598534488534,0.636234232260547,,Main,-0.0313365393836331,0.0516100861358721
HC genotype,Time_235,HMDB0034408,alpha-Tocoquinone,0.0112849838115715,0.0211598534488534,0.598716466546158,,Main,-0.0301883289481811,0.0527582965713241
HC genotype,Time_(joint),HMDB0034408,alpha-Tocoquinone,,,,0.842766666383337,Main,,
HC genotype,Time_120,HMDB0000317,2-Hydroxycaproic and or 2-Hydroxyisocaproic acid,-0.0370269199045606,0.04973960554355,0.467418755270382,,Main,-0.134516546769919,0.0604627069607973
HC genotype,Time_235,HMDB0000317,2-Hydroxycaproic and or 2-Hydroxyisocaproic acid,-0.0915192088409149,0.04973960554355,0.0843996344944856,,Main,-0.189008835706273,0.00597041802444301
HC genotype,Time_(joint),HMDB0000317,2-Hydroxycaproic and or 2-Hydroxyisocaproic acid,,,,0.211733625554568,Main,,
HC genotype,Time_120,HMDB0000252,Sphingosine,-0.0499988847250636,0.360350559492088,0.891378525844236,,Main,-0.756285981329556,0.656288211879429
HC genotype,Time_235,HMDB0000252,Sphingosine,0.695794447330795,0.360350559492088,0.0714135772356073,,Main,-0.010492649273697,1.40208154393529
HC genotype,Time_(joint),HMDB0000252,Sphingosine,,,,0.0993419665535297,Main,,
HC genotype,Time_120,HMDB0010379,LPC 14:0/0:0,-0.0320307574417576,0.0344673114607379,0.366538549869096,,Main,-0.0995866879048039,0.0355251730212887
HC genotype,Time_235,HMDB0010379,LPC 14:0/0:0,-0.110167790908835,0.0344673114607379,0.0056212690934341,,Main,-0.177723721371881,-0.0426118604457886
HC genotype,Time_(joint),HMDB0010379,LPC 14:0/0:0,,,,0.0160777284006089,Main,,
HC genotype,Time_120,HMDB0010387,LPC 18:3/0:0,-0.0027095538858188,0.0578670668033346,0.963233156235911,,Main,-0.116129004820355,0.110709897048717
HC genotype,Time_235,HMDB0010387,LPC 18:3/0:0,-0.0137298188136615,0.0578670668033346,0.815462651488358,,Main,-0.127149269748197,0.0996896321208744
HC genotype,Time_(joint),HMDB0010387,LPC 18:3/0:0,,,,0.968968899531858,Main,,
HC genotype,Time_120,HMDB0010383,LPC 16:1/0:0,-0.037406991566135,0.0297939181331228,0.227315353176988,,Main,-0.0958030711070557,0.0209890879747858
HC genotype,Time_235,HMDB0010383,LPC 16:1/0:0,-0.105996916997192,0.0297939181331228,0.00262365512247016,,Main,-0.164392996538113,-0.0476008374562714
HC genotype,Time_(joint),HMDB0010383,LPC 16:1/0:0,,,,0.00853341832416167,Main,,
HC genotype,Time_120,HMDB0010381,LPC 15:0/0:0,-0.0217108480423627,0.029198831620557,0.467926641740102,,Main,-0.0789405580186545,0.035518861933929
HC genotype,Time_235,HMDB0010381,LPC 15:0/0:0,-0.104674789377874,0.029198831620557,0.00247700168727849,,Main,-0.161904499354166,-0.0474450794015825
HC genotype,Time_(joint),HMDB0010381,LPC 15:0/0:0,,,,0.00601603413986533,Main,,
HC genotype,Time_120,HMDB0011477,LPE 0:0/18:2,0.472727072100145,0.115296156591886,0.000836360189948706,,Main,0.246746605180048,0.698707539020241
HC genotype,Time_235,HMDB0011477,LPE 0:0/18:2,0.771017352259897,0.115296156591886,5.21863059160264e-06,,Main,0.545036885339801,0.996997819179993
HC genotype,Time_(joint),HMDB0011477,LPE 0:0/18:2,,,,2.10347677307702e-05,Main,,
HC genotype,Time_120,HMDB0011487,LPE 0:0/20:4,0.0757149522274803,0.0707223077987697,0.300236443148524,,Main,-0.0629007710581082,0.214330675513069
HC genotype,Time_235,HMDB0011487,LPE 0:0/20:4,0.185701297819341,0.0707223077987697,0.0183529961589235,,Main,0.0470855745337524,0.324317021104929
HC genotype,Time_(joint),HMDB0011487,LPE 0:0/20:4,,,,0.055362767463904,Main,,
HC genotype,Time_120,HMDB0240685,Cer 18:1;O2/15:0,-0.0457110412764357,0.0565190235546184,0.430508610515318,,Main,-0.156488327443488,0.0650662448906164
HC genotype,Time_235,HMDB0240685,Cer 18:1;O2/15:0,-0.0792594126180153,0.0565190235546184,0.179914962004113,,Main,-0.190036698785067,0.0315178735490368
HC genotype,Time_(joint),HMDB0240685,Cer 18:1;O2/15:0,,,,0.392872883268291,Main,,
HC genotype,Time_120,HMDB0011561,MG 14:0,-0.0259635710088162,0.0523213271167997,0.626477785838136,,Main,-0.128513372157744,0.0765862301401113
