Exposure,beta,se,p,anovaF,anovaP,Effect,lowCI,upCI,Outcome,Beta.SE,P,P_signif,anovaP_signif,outcome
Time_120,0.0108450011626663,0.0135871806083711,0.429256857844064,,,Main,-0.0157858728297411,0.0374758751550738,Thymine,"0 (0, 0)",0.429,0.429,,HMDB0000262
Time_235,-0.0480632579532551,0.0135871806083711,0.00100101344399879,,,Main,-0.0746941319456625,-0.0214323839608477,Thymine,"0 (-0.1, 0)",1.0e-03,1.0e-03**,,HMDB0000262
Time_(joint),,,,10.6491642283937,0.000181550738354755,Main,,,Thymine,"NA (NA, NA)",,,1.8e-04***,HMDB0000262
Time_120,-0.00513695937666431,0.0334126038071185,0.878548603809481,,,Main,-0.0706256628386166,0.060351744085288,Threitol,"0 (-0.1, 0.1)",0.879,0.879,,HMDB0004136
Time_235,-0.0599047797174692,0.0334126038071185,0.0801960591113405,,,Main,-0.125393483179422,0.00558392374448311,Threitol,"-0.1 (-0.1, 0)",0.08,0.08,,HMDB0004136
Time_(joint),,,,1.97494109872435,0.151447688673682,Main,,,Threitol,"NA (NA, NA)",,,0.151,HMDB0004136
Time_120,-0.119867002049168,0.0186851597437396,1.00381363992893e-07,,,Main,-0.156489915146897,-0.0832440889514378,Ribitol,"-0.1 (-0.2, -0.1)",1.0e-07,1.0e-07***,,HMDB0000508
Time_235,0.0025358341853424,0.0186851597437396,0.892695915920365,,,Main,-0.0340870789123873,0.0391587472830721,Ribitol,"0 (0, 0)",0.893,0.893,,HMDB0000508
Time_(joint),,,,28.0282857027452,1.85022401744477e-08,Main,,,Ribitol,"NA (NA, NA)",,,1.9e-08***,HMDB0000508
Time_120,-0.0411388735329138,0.0166208748708366,0.0174377296471254,,,Main,-0.0737157882797536,-0.00856195878607405,Pseudouridine,"0 (-0.1, 0)",0.017,0.017*,,HMDB0000767
Time_235,-0.0776489461789173,0.0166208748708366,3.06744216691623e-05,,,Main,-0.110225860925757,-0.0450720314320775,Pseudouridine,"-0.1 (-0.1, 0)",3.1e-05,3.1e-05***,,HMDB0000767
Time_(joint),,,,10.9256555665494,0.000151240771091599,Main,,,Pseudouridine,"NA (NA, NA)",,,1.5e-04***,HMDB0000767
Time_120,1.36025557169625,0.122154298878084,4.10890292454214e-14,,,Main,1.12083314589521,1.5996779974973,TG 46:2,"1.4 (1.1, 1.6)",4.1e-14,4.1e-14***,,HMDB0010419
Time_235,1.41338579590075,0.122154298878084,1.21008023633337e-14,,,Main,1.17396337009971,1.6528082217018,TG 46:2,"1.4 (1.2, 1.7)",1.2e-14,1.2e-14***,,HMDB0010419
Time_(joint),,,,86.0220235280595,1.40497587387958e-15,Main,,,TG 46:2,"NA (NA, NA)",,,1.4e-15***,HMDB0010419
Time_120,-0.156219718166918,0.0291828424594176,3.35990769722066e-06,,,Main,-0.213418089387376,-0.0990213469464591,DG 36:2,"-0.2 (-0.2, -0.1)",3.4e-06,3.4e-06***,,HMDB0007218
Time_235,-0.142758028832116,0.0291828424594176,1.51127442500181e-05,,,Main,-0.199956400052575,-0.0855596576116578,DG 36:2,"-0.1 (-0.2, -0.1)",1.5e-05,1.5e-05***,,HMDB0007218
Time_(joint),,,,17.5996752518578,2.80768589739799e-06,Main,,,DG 36:2,"NA (NA, NA)",,,2.8e-06***,HMDB0007218
Time_120,-0.216483688468634,0.0782205948553777,0.00836380911173488,,,Main,-0.369796054385174,-0.0631713225520938,alpha-Tocoquinone,"-0.2 (-0.4, -0.1)",8.4e-03,8.4e-03**,,HMDB0034408
Time_235,-0.214916184916465,0.0782205948553777,0.00880790706577483,,,Main,-0.368228550833005,-0.0616038189999245,alpha-Tocoquinone,"-0.2 (-0.4, -0.1)",8.8e-03,8.8e-03**,,HMDB0034408
Time_(joint),,,,5.06971736794433,0.0106596368241328,Main,,,alpha-Tocoquinone,"NA (NA, NA)",,,0.011*,HMDB0034408
Time_120,0.0883710672193731,0.0247194558503943,0.000897120721732889,,,Main,0.0399209337526002,0.136821200686146,2-Aminobutyric acid,"0.1 (0, 0.1)",9e-04,9e-04***,,HMDB0000452
Time_235,0.0442812128890949,0.0247194558503943,0.0804448064864681,,,Main,-0.00416892057767797,0.0927313463558678,2-Aminobutyric acid,"0 (0, 0.1)",0.08,0.08,,HMDB0000452
Time_(joint),,,,6.39017968122859,0.0037767016624785,Main,,,2-Aminobutyric acid,"NA (NA, NA)",,,3.8e-03**,HMDB0000452
Time_120,0.352166660765551,0.0704479140305554,1.06814586711349e-05,,,Main,0.214088749265662,0.490244572265439,Kynurenine,"0.4 (0.2, 0.5)",1.1e-05,1.1e-05***,,HMDB0000684
