meal_type,Exposure,outcome,Outcome,beta,se,p,anovaP,Effect,lowCI,upCI
HC meal,HC Genotype x Time_360,HMDB0034408,alpha-Tocoquinone,-0.0407678567506871,0.0444893320556185,0.389959779923197,,Interaction,-0.127966947579699,0.0464312340783252
HC meal,HC Genotype x Time_(joint),HMDB0034408,alpha-Tocoquinone,,,,0.389959779923197,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0000317,2-Hydroxycaproic and,0.132699273585817,0.113036839982838,0.278805317132189,,Interaction,-0.0888529327805459,0.35425147995218
HC meal,HC Genotype x Time_(joint),HMDB0000317,2-Hydroxycaproic and,,,,0.278805317132189,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0000252,Sphingosine,-0.202348171212598,1.24896770000317,0.875873470380068,,Interaction,-2.65032486321881,2.24562852079362
HC meal,HC Genotype x Time_(joint),HMDB0000252,Sphingosine,,,,0.875873470380068,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0010379,LPC 14:0/0:0,-0.0959680027967857,0.0612578146769095,0.161185674133687,,Interaction,-0.216033319563528,0.0240973139699568
HC meal,HC Genotype x Time_(joint),HMDB0010379,LPC 14:0/0:0,,,,0.161185674133687,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0010387,LPC 18:3/0:0,-0.149733478556345,0.0566379608005817,0.0332446244668453,,Interaction,-0.260743881725485,-0.0387230753872046
HC meal,HC Genotype x Time_(joint),HMDB0010387,LPC 18:3/0:0,,,,0.0332446244668453,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0010383,LPC 16:1/0:0,-0.118133905448727,0.0456834991612287,0.0361590194698357,,Interaction,-0.207673563804735,-0.0285942470927184
HC meal,HC Genotype x Time_(joint),HMDB0010383,LPC 16:1/0:0,,,,0.0361590194698357,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0010381,LPC 15:0/0:0,-0.0838676657181225,0.0536276979924215,0.161820277284803,,Interaction,-0.188977953783269,0.0212426223470236
HC meal,HC Genotype x Time_(joint),HMDB0010381,LPC 15:0/0:0,,,,0.161820277284803,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0011477,LPE 0:0/18:2,-0.152470151613765,0.0863492276653389,0.12078591454755,,Interaction,-0.321714637837829,0.0167743346102989
HC meal,HC Genotype x Time_(joint),HMDB0011477,LPE 0:0/18:2,,,,0.12078591454755,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0011487,LPE 0:0/20:4,-0.0596484114964548,0.0848762477058704,0.504892572035352,,Interaction,-0.226005856999961,0.106709034007051
HC meal,HC Genotype x Time_(joint),HMDB0011487,LPE 0:0/20:4,,,,0.504892572035352,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0240685,Cer 18:1;O2/15:0,0.0719573836666328,0.268588808259321,0.796492060974598,,Interaction,-0.454476680521636,0.598391447854902
HC meal,HC Genotype x Time_(joint),HMDB0240685,Cer 18:1;O2/15:0,,,,0.796492060974598,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0011561,MG 14:0,-0.0894195085028365,0.0551854056109369,0.149189190472153,,Interaction,-0.197582903500273,0.0187438864945999
HC meal,HC Genotype x Time_(joint),HMDB0011561,MG 14:0,,,,0.149189190472153,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0000671,Indolelactic acid,0.0615206593918231,0.303308540253866,0.845036032591895,,Interaction,-0.532964079505754,0.6560053982894
HC meal,HC Genotype x Time_(joint),HMDB0000671,Indolelactic acid,,,,0.845036032591895,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0010386,LPC 18:2/0:0,-0.180838800172404,0.0524769160710014,0.0107484844540645,,Interaction,-0.283693555671567,-0.0779840446732415
HC meal,HC Genotype x Time_(joint),HMDB0010386,LPC 18:2/0:0,,,,0.0107484844540645,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0010404,LPC 22:6/0:0,-0.200883953021053,0.0476130771078401,0.00394103955884133,,Interaction,-0.294205584152419,-0.107562321889686
HC meal,HC Genotype x Time_(joint),HMDB0010404,LPC 22:6/0:0,,,,0.00394103955884133,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0011507,LPE 18:2/0:0,-0.149260598013442,0.0806418404766504,0.106624986923586,,Interaction,-0.307318605347676,0.00879740932079318
HC meal,HC Genotype x Time_(joint),HMDB0011507,LPE 18:2/0:0,,,,0.106624986923586,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0011526,LPE 22:6/0:0,-0.148576440583334,0.0757597747560566,0.0906656585302304,,Interaction,-0.297065599105205,-8.72820614632175e-05
HC meal,HC Genotype x Time_(joint),HMDB0011526,LPE 22:6/0:0,,,,0.0906656585302304,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0010395,LPC 20:4/0:0,-0.186256690063421,0.0431359576134949,0.00348915876191358,,Interaction,-0.270803166985871,-0.101710213140971
HC meal,HC Genotype x Time_(joint),HMDB0010395,LPC 20:4/0:0,,,,0.00348915876191358,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0011517,LPE 20:4/0:0,-0.139710654882543,0.120513220340211,0.284347395776664,,Interaction,-0.375916566749358,0.0964952569842711
HC meal,HC Genotype x Time_(joint),HMDB0011517,LPE 20:4/0:0,,,,0.284347395776664,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0011473,LPE 0:0/16:0,0.0504429327543313,0.11160103907676,0.664946793565708,,Interaction,-0.168295103836118,0.269180969344781
HC meal,HC Genotype x Time_(joint),HMDB0011473,LPE 0:0/16:0,,,,0.664946793565708,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0010382,LPC 16:0/0:0,-0.108935151795633,0.0443993677066867,0.0438795909773869,,Interaction,-0.195957912500739,-0.0219123910905271
HC meal,HC Genotype x Time_(joint),HMDB0010382,LPC 16:0/0:0,,,,0.0438795909773869,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0001855,5-Hydroxytryptophol,-0.12995828997009,0.138168930947076,0.378238405250609,,Interaction,-0.400769394626358,0.140852814686178
HC meal,HC Genotype x Time_(joint),HMDB0001855,5-Hydroxytryptophol,,,,0.378238405250609,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0011503,LPE 16:0/0:0,-0.0545041783958895,0.0341870412117682,0.154899560904328,,Interaction,-0.121510779170955,0.0125024223791762
HC meal,HC Genotype x Time_(joint),HMDB0011503,LPE 16:0/0:0,,,,0.154899560904328,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0034146,Stearamide,-0.0424874501537381,0.144965267691375,0.773754962608496,,Interaction,-0.326619374828833,0.241644474521357
HC meal,HC Genotype x Time_(joint),HMDB0034146,Stearamide,,,,0.773754962608496,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0010393,LPC 20:3/0:0,-0.15856066508934,0.0438785067349796,0.00858261965000552,,Interaction,-0.2445625382899,-0.0725587918887805
HC meal,HC Genotype x Time_(joint),HMDB0010393,LPC 20:3/0:0,,,,0.00858261965000552,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0011516,LPE 20:3/0:0,-0.104921880093275,0.0664168664839033,0.158175408661342,,Interaction,-0.235098938401726,0.0252551782151753
HC meal,HC Genotype x Time_(joint),HMDB0011516,LPE 20:3/0:0,,,,0.158175408661342,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0011563,MG 15:0,-0.0697536899376431,0.0503256283348825,0.208278344063009,,Interaction,-0.168391921474013,0.0288845415987266
HC meal,HC Genotype x Time_(joint),HMDB0011563,MG 15:0,,,,0.208278344063009,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0029377,Piperine,0.102812483932375,0.264492677958717,0.703333997379873,,Interaction,-0.415593164866712,0.621218132731461
HC meal,HC Genotype x Time_(joint),HMDB0029377,Piperine,,,,0.703333997379873,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0010403,LPC 22:5/0:0,-0.178924994426955,0.0786195440198413,0.0569852333408072,,Interaction,-0.333019300705844,-0.0248306881480665
HC meal,HC Genotype x Time_(joint),HMDB0010403,LPC 22:5/0:0,,,,0.0569852333408072,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0002815,LPC 18:1/0:0,-0.1380274832596,0.0444915639066643,0.0172658126765449,,Interaction,-0.225230948516662,-0.0508240180025382
HC meal,HC Genotype x Time_(joint),HMDB0002815,LPC 18:1/0:0,,,,0.0172658126765449,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0011568,MG 18:2,-0.0787658371234006,0.177369702550766,0.670390348528812,,Interaction,-0.426410454122902,0.2688787798761
HC meal,HC Genotype x Time_(joint),HMDB0011568,MG 18:2,,,,0.670390348528812,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0011506,LPE 18:1/0:0,-0.101355687982116,0.0594673955940162,0.13208297381787,,Interaction,-0.217911783346388,0.0152004073821558
HC meal,HC Genotype x Time_(joint),HMDB0011506,LPE 18:1/0:0,,,,0.13208297381787,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0000122,Hexose,-0.0140273085610474,0.0643945978101184,0.833772559698079,,Interaction,-0.140240720268879,0.112186103146785
HC meal,HC Genotype x Time_(joint),HMDB0000122,Hexose,,,,0.833772559698079,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0012108,LPC 17:0/0:0,-0.0570716471659807,0.0276892597975258,0.0782324717043433,,Interaction,-0.111342596369131,-0.00280069796283019
HC meal,HC Genotype x Time_(joint),HMDB0012108,LPC 17:0/0:0,,,,0.0782324717043433,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0010401,LPC 22:4/0:0,-0.300347005282571,0.0730854016741423,0.0045185520829091,,Interaction,-0.443594392563889,-0.157099618001252
HC meal,HC Genotype x Time_(joint),HMDB0010401,LPC 22:4/0:0,,,,0.0045185520829091,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0010407,LPC P-16:0/0:0,-0.120524848952601,0.0366713889250663,0.013364634995603,,Interaction,-0.192400771245731,-0.0486489266594715
HC meal,HC Genotype x Time_(joint),HMDB0010407,LPC P-16:0/0:0,,,,0.013364634995603,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0243890,LPC O-16:0/0:0,-0.166378111618391,0.0457825497482316,0.00835230476920519,,Interaction,-0.256111909124925,-0.0766443141118569
HC meal,HC Genotype x Time_(joint),HMDB0243890,LPC O-16:0/0:0,,,,0.00835230476920519,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0010392,LPC 20:2/0:0,-0.259547824851032,0.0614836707939252,0.00392972689291903,,Interaction,-0.380055819607125,-0.139039830094939
HC meal,HC Genotype x Time_(joint),HMDB0010392,LPC 20:2/0:0,,,,0.00392972689291903,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0011564,MG 16:0,-0.0335623217921395,0.0258459985679231,0.235238308485873,,Interaction,-0.0842204789852688,0.0170958354009899
HC meal,HC Genotype x Time_(joint),HMDB0011564,MG 16:0,,,,0.235238308485873,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0000063,Cortisol,-0.0375273718740772,0.0449467700404455,0.431327100361378,,Interaction,-0.12562304115335,0.0505682974051959
HC meal,HC Genotype x Time_(joint),HMDB0000063,Cortisol,,,,0.431327100361378,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0002802,Cortisone,0.0941412230872935,0.13485769229444,0.507647224647671,,Interaction,-0.170179853809808,0.358462299984395
HC meal,HC Genotype x Time_(joint),HMDB0002802,Cortisone,,,,0.507647224647671,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0013648,Palmitoleoyl-EA,-0.00833111595853363,0.134116385200282,0.951346560075503,,Interaction,-0.271199230951087,0.254536999034019
HC meal,HC Genotype x Time_(joint),HMDB0013648,Palmitoleoyl-EA,,,,0.951346560075503,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0011128,LPC 0:0/18:0,-0.135226278014154,0.0841703943834513,0.152182257804864,,Interaction,-0.300200251005718,0.0297476949774108
HC meal,HC Genotype x Time_(joint),HMDB0011128,LPC 0:0/18:0,,,,0.152182257804864,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0011129,LPE 0:0/18:0,-0.200328786288278,0.204321615413508,0.359523205698582,,Interaction,-0.600799152498754,0.200141579922197
HC meal,HC Genotype x Time_(joint),HMDB0011129,LPE 0:0/18:0,,,,0.359523205698582,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0010408,LPC P-18:1/0:0,-0.053900640728557,0.0744902561274841,0.492781231912668,,Interaction,-0.199901542738426,0.0921002612813119
HC meal,HC Genotype x Time_(joint),HMDB0010408,LPC P-18:1/0:0,,,,0.492781231912668,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0000254,Succinic acid,-0.174403356186633,0.141716262115424,0.258197878007048,,Interaction,-0.452167229932864,0.103360517559597
HC meal,HC Genotype x Time_(joint),HMDB0000254,Succinic acid,,,,0.258197878007048,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0010384,LPC 18:0/0:0,-0.111989903364942,0.056149458410837,0.0863170355785131,,Interaction,-0.222042841850182,-0.00193696487970123
HC meal,HC Genotype x Time_(joint),HMDB0010384,LPC 18:0/0:0,,,,0.0863170355785131,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0011130,LPE 18:0/0:0,-0.0735524014836769,0.0437059300391443,0.13627372848061,,Interaction,-0.1592160243604,0.0121112213930459
HC meal,HC Genotype x Time_(joint),HMDB0011130,LPE 18:0/0:0,,,,0.13627372848061,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0011567,MG 18:1,-0.096923041059327,0.087595087130082,0.30508478825498,,Interaction,-0.268609411834288,0.0747633297156338
HC meal,HC Genotype x Time_(joint),HMDB0011567,MG 18:1,,,,0.30508478825498,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0072856,MG 17:0,-0.0970528532329347,0.0579945910174804,0.13814767099435,,Interaction,-0.210722251627196,0.0166165451613269
HC meal,HC Genotype x Time_(joint),HMDB0072856,MG 17:0,,,,0.13814767099435,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0010391,LPC 20:1/0:0,-0.133770172752983,0.0496417003340507,0.0308743300445272,,Interaction,-0.231067905407722,-0.0364724400982433
HC meal,HC Genotype x Time_(joint),HMDB0010391,LPC 20:1/0:0,,,,0.0308743300445272,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0000045,AMP,0.0953137915782196,0.190872743021126,0.625282764340129,,Interaction,-0.278796784743187,0.469424367899626
HC meal,HC Genotype x Time_(joint),HMDB0000045,AMP,,,,0.625282764340129,Interaction,,
HC meal,HC Genotype x Time_360,HMDB0011149,LPC O-18:0/0:0,-0.150955919906468,0.0572107682591428,0.0334918677407659,,Interaction,-0.263089025694388,-0.0388228141185479
