genotype,meal_type,Exposure,outcome,Outcome,beta,se,p,anovaP,Effect,lowCI,upCI
HC genotype,HC meal,Time_360,HMDB0034408,alpha-Tocoquinone,0.0374649813476,0.0148662567704895,0.0861665184410725,,Main,0.00832711807744056,0.0666028446177595
HC genotype,HC meal,Time_(joint),HMDB0034408,alpha-Tocoquinone,,,,0.0861665184410725,Main,,
HC genotype,HC meal,Time_360,HMDB0000317,2-Hydroxycaproic and,0.0191328075273277,0.114040882638826,0.877435278608028,,Main,-0.204387322444772,0.242652937499428
HC genotype,HC meal,Time_(joint),HMDB0000317,2-Hydroxycaproic and,,,,0.877435278608028,Main,,
HC genotype,HC meal,Time_360,HMDB0000252,Sphingosine,-1.01902507386417,0.987491785259962,0.378007842696944,,Main,-2.95450897297369,0.916458825245359
HC genotype,HC meal,Time_(joint),HMDB0000252,Sphingosine,,,,0.378007842696944,Main,,
HC genotype,HC meal,Time_360,HMDB0010379,LPC 14:0/0:0,-0.0197968303196738,0.0395344998256758,0.650979416732157,,Main,-0.0972844499779983,0.0576907893386507
HC genotype,HC meal,Time_(joint),HMDB0010379,LPC 14:0/0:0,,,,0.650979416732157,Main,,
HC genotype,HC meal,Time_360,HMDB0010387,LPC 18:3/0:0,0.152507119845698,0.0173303483104737,0.00309166659525486,,Main,0.118539637157169,0.186474602534226
HC genotype,HC meal,Time_(joint),HMDB0010387,LPC 18:3/0:0,,,,0.00309166659525486,Main,,
HC genotype,HC meal,Time_360,HMDB0010383,LPC 16:1/0:0,-0.0172779932362773,0.0334071042157226,0.640734891145178,,Main,-0.0827559174990937,0.048199931026539
HC genotype,HC meal,Time_(joint),HMDB0010383,LPC 16:1/0:0,,,,0.640734891145178,Main,,
HC genotype,HC meal,Time_360,HMDB0010381,LPC 15:0/0:0,-0.0221765101621543,0.0406518489868135,0.623339841255507,,Main,-0.101854134176309,0.0575011138520002
HC genotype,HC meal,Time_(joint),HMDB0010381,LPC 15:0/0:0,,,,0.623339841255507,Main,,
HC genotype,HC meal,Time_360,HMDB0011477,LPE 0:0/18:2,0.47974201668223,0.068759666607862,0.00604267086590191,,Main,0.344973070130821,0.61451096323364
HC genotype,HC meal,Time_(joint),HMDB0011477,LPE 0:0/18:2,,,,0.00604267086590191,Main,,
HC genotype,HC meal,Time_360,HMDB0011487,LPE 0:0/20:4,0.421100972840918,0.0687640106127695,0.00875387705947329,,Main,0.28632351203989,0.555878433641946
HC genotype,HC meal,Time_(joint),HMDB0011487,LPE 0:0/20:4,,,,0.00875387705947329,Main,,
HC genotype,HC meal,Time_360,HMDB0240685,Cer 18:1;O2/15:0,0.0877286810623942,0.0510768466072017,0.184371442156212,,Main,-0.0123819382877212,0.18783930041251
HC genotype,HC meal,Time_(joint),HMDB0240685,Cer 18:1;O2/15:0,,,,0.184371442156212,Main,,
HC genotype,HC meal,Time_360,HMDB0011561,MG 14:0,-0.030934829353246,0.02686614432136,0.332991182423282,,Main,-0.0835924722231116,0.0217228135166196
HC genotype,HC meal,Time_(joint),HMDB0011561,MG 14:0,,,,0.332991182423282,Main,,
HC genotype,HC meal,Time_360,HMDB0000671,Indolelactic acid,0.276592158171695,0.188215575055333,0.238021497704769,,Main,-0.0923103689367572,0.645494685280148
HC genotype,HC meal,Time_(joint),HMDB0000671,Indolelactic acid,,,,0.238021497704769,Main,,
HC genotype,HC meal,Time_360,HMDB0010386,LPC 18:2/0:0,0.246613115575968,0.0169370666375773,0.000702443018014253,,Main,0.213416464966317,0.27980976618562
HC genotype,HC meal,Time_(joint),HMDB0010386,LPC 18:2/0:0,,,,0.000702443018014253,Main,,
HC genotype,HC meal,Time_360,HMDB0010404,LPC 22:6/0:0,0.234982339584978,0.0327203491816861,0.00556295391479797,,Main,0.170850455188873,0.299114223981082
HC genotype,HC meal,Time_(joint),HMDB0010404,LPC 22:6/0:0,,,,0.00556295391479797,Main,,
HC genotype,HC meal,Time_360,HMDB0011507,LPE 18:2/0:0,0.464323655550501,0.0649800903896957,0.00564347135173003,,Main,0.336962678386698,0.591684632714305
