"",outcome,Outcome,Beta.CI_HC genotype_HC meal,Beta.CI_HC genotype_HF meal,Beta.CI_HF genotype_HC meal,Beta.CI_HF genotype_HF meal,P_HC genotype_HC meal,P_HC genotype_HF meal,P_HF genotype_HC meal,P_HF genotype_HF meal
1,HMDB0010387,LPC 18:3/0:0,"0.15 (0.12, 0.19)","0.15 (0.1, 0.19)","0.3 (0.21, 0.4)","0.29 (0.17, 0.42)",3.1e-03,3.5e-03,3.3e-03,0.043
2,HMDB0011477,LPE 0:0/18:2,"0.48 (0.34, 0.61)","0.54 (0.3, 0.78)","0.63 (0.53, 0.74)","0.56 (0.41, 0.72)",6.0e-03,0.012,3.1e-04,0.02
3,HMDB0011487,LPE 0:0/20:4,"0.42 (0.29, 0.56)","0.45 (0.2, 0.7)","0.48 (0.38, 0.58)","0.44 (0.29, 0.59)",8.8e-03,0.024,7.9e-04,0.029
4,HMDB0010386,LPC 18:2/0:0,"0.25 (0.21, 0.28)","0.33 (0.24, 0.43)","0.43 (0.34, 0.51)","0.4 (0.33, 0.48)",7.0e-04,2.0e-03,6.5e-04,8.8e-03
5,HMDB0010404,LPC 22:6/0:0,"0.23 (0.17, 0.3)","0.28 (0.15, 0.4)","0.44 (0.37, 0.5)",,5.6e-03,0.012,2.0e-04,
6,HMDB0011507,LPE 18:2/0:0,"0.46 (0.34, 0.59)","0.53 (0.29, 0.78)","0.61 (0.52, 0.71)","0.56 (0.43, 0.69)",5.6e-03,0.013,2.6e-04,0.014
7,HMDB0011526,LPE 22:6/0:0,"0.29 (0.2, 0.37)","0.36 (0.21, 0.5)","0.43 (0.32, 0.55)","0.34 (0.27, 0.41)",7.0e-03,8.6e-03,1.7e-03,0.011
8,HMDB0010395,LPC 20:4/0:0,"0.12 (0.07, 0.17)","0.17 (0.07, 0.27)","0.31 (0.24, 0.37)","0.23 (0.15, 0.31)",0.02,0.032,6.5e-04,0.031
9,HMDB0011517,LPE 20:4/0:0,"0.52 (0.42, 0.62)",,"0.66 (0.47, 0.86)",,2.0e-03,,2.5e-03,
10,HMDB0011473,LPE 0:0/16:0,"0.33 (0.29, 0.38)",,"0.28 (0.09, 0.47)",,6.4e-04,,0.043,
