genotype,meal_type,Exposure,outcome,Outcome,beta,se,p,anovaP,Effect,lowCI,upCI
All,HC meal,Time_360,HMDB0034408,alpha-Tocoquinone,0.0601137906535377,0.0218843238272956,0.0251797165589626,,Main,0.0172205159520384,0.103007065355037
All,HC meal,Time_(joint),HMDB0034408,alpha-Tocoquinone,,,,0.0251797165589626,Main,,
All,HC meal,Time_360,HMDB0000317,2-Hydroxycaproic and,-0.0545890111314596,0.0574806428708575,0.370071564065324,,Main,-0.16725107115834,0.0580730488954211
All,HC meal,Time_(joint),HMDB0000317,2-Hydroxycaproic and,,,,0.370071564065324,Main,,
All,HC meal,Time_360,HMDB0000252,Sphingosine,-0.906609423190505,0.581621482879749,0.157670513554762,,Main,-2.04658752963481,0.233368683253803
All,HC meal,Time_(joint),HMDB0000252,Sphingosine,,,,0.157670513554762,Main,,
All,HC meal,Time_360,HMDB0010379,LPC 14:0/0:0,0.0335187267896514,0.0330905488842431,0.340741283173919,,Main,-0.0313387490234651,0.0983762026027679
All,HC meal,Time_(joint),HMDB0010379,LPC 14:0/0:0,,,,0.340741283173919,Main,,
All,HC meal,Time_360,HMDB0010387,LPC 18:3/0:0,0.235692385710334,0.0372160548620715,0.000224649514034192,,Main,0.162748918180673,0.308635853239994
All,HC meal,Time_(joint),HMDB0010387,LPC 18:3/0:0,,,,0.000224649514034192,Main,,
All,HC meal,Time_360,HMDB0010383,LPC 16:1/0:0,0.0483519542352375,0.0296920896850442,0.14208002946013,,Main,-0.00984454154744908,0.106548450017924
All,HC meal,Time_(joint),HMDB0010383,LPC 16:1/0:0,,,,0.14208002946013,Main,,
All,HC meal,Time_360,HMDB0010381,LPC 15:0/0:0,0.0244166374590249,0.0289557433999734,0.423588033292098,,Main,-0.0323366196049229,0.0811698945229727
All,HC meal,Time_(joint),HMDB0010381,LPC 15:0/0:0,,,,0.423588033292098,Main,,
All,HC meal,Time_360,HMDB0011477,LPE 0:0/18:2,0.564447656467656,0.048253596975334,2.60367765470556e-06,,Main,0.469870606396002,0.659024706539311
All,HC meal,Time_(joint),HMDB0011477,LPE 0:0/18:2,,,,2.60367765470555e-06,Main,,
All,HC meal,Time_360,HMDB0011487,LPE 0:0/20:4,0.454238979227837,0.0408194505148739,3.80147598616885e-06,,Main,0.374232856218685,0.53424510223699
All,HC meal,Time_(joint),HMDB0011487,LPE 0:0/20:4,,,,3.80147598616885e-06,Main,,
All,HC meal,Time_360,HMDB0240685,Cer 18:1;O2/15:0,0.0477523568031539,0.125481467813238,0.71344070973965,,Main,-0.198191320110793,0.2936960337171
All,HC meal,Time_(joint),HMDB0240685,Cer 18:1;O2/15:0,,,,0.71344070973965,Main,,
All,HC meal,Time_360,HMDB0011561,MG 14:0,0.0187426753705514,0.0300790374290249,0.550556042706681,,Main,-0.0402122379903374,0.0776975887314401
All,HC meal,Time_(joint),HMDB0011561,MG 14:0,,,,0.550556042706681,Main,,
All,HC meal,Time_360,HMDB0000671,Indolelactic acid,0.242414014065127,0.141394868339629,0.124791936887813,,Main,-0.0347199278805467,0.5195479560108
All,HC meal,Time_(joint),HMDB0000671,Indolelactic acid,,,,0.124791936887813,Main,,
All,HC meal,Time_360,HMDB0010386,LPC 18:2/0:0,0.347079115671749,0.040053767363643,2.44634659380361e-05,,Main,0.268573731639009,0.425584499704489
All,HC meal,Time_(joint),HMDB0010386,LPC 18:2/0:0,,,,2.44634659380361e-05,Main,,
All,HC meal,Time_360,HMDB0010404,LPC 22:6/0:0,0.346584535707785,0.0416568131405919,3.28917580824784e-05,,Main,0.264937181952225,0.428231889463345
All,HC meal,Time_(joint),HMDB0010404,LPC 22:6/0:0,,,,3.28917580824783e-05,Main,,
All,HC meal,Time_360,HMDB0011507,LPE 18:2/0:0,0.547246210002414,0.0457450230149615,2.19495601297809e-06,,Main,0.457585964893089,0.636906455111738
All,HC meal,Time_(joint),HMDB0011507,LPE 18:2/0:0,,,,2.19495601297809e-06,Main,,
All,HC meal,Time_360,HMDB0011526,LPE 22:6/0:0,0.367829748788239,0.0438332146295868,3.09088508127152e-05,,Main,0.281916648114249,0.453742849462229
All,HC meal,Time_(joint),HMDB0011526,LPE 22:6/0:0,,,,3.09088508127152e-05,Main,,
All,HC meal,Time_360,HMDB0010395,LPC 20:4/0:0,0.224829985919693,0.0383761947736808,0.000379075107201926,,Main,0.149612644163279,0.300047327676107
All,HC meal,Time_(joint),HMDB0010395,LPC 20:4/0:0,,,,0.000379075107201926,Main,,
All,HC meal,Time_360,HMDB0011517,LPE 20:4/0:0,0.601535306573453,0.0611573363091872,9.60321006975587e-06,,Main,0.481666927407446,0.72140368573946
All,HC meal,Time_(joint),HMDB0011517,LPE 20:4/0:0,,,,9.60321006975589e-06,Main,,
All,HC meal,Time_360,HMDB0011473,LPE 0:0/16:0,0.305114701626182,0.052624934709337,0.000406129004154356,,Main,0.201969829595881,0.408259573656483
All,HC meal,Time_(joint),HMDB0011473,LPE 0:0/16:0,,,,0.000406129004154355,Main,,
All,HC meal,Time_360,HMDB0010382,LPC 16:0/0:0,0.0465498832102185,0.0281453436692668,0.13674378379733,,Main,-0.00861499038154449,0.101714756801981
All,HC meal,Time_(joint),HMDB0010382,LPC 16:0/0:0,,,,0.13674378379733,Main,,
All,HC meal,Time_360,HMDB0001855,5-Hydroxytryptophol,0.0137654126937655,0.068160059401163,0.844991240491444,,Main,-0.119828303732514,0.147359129120045
All,HC meal,Time_(joint),HMDB0001855,5-Hydroxytryptophol,,,,0.844991240491444,Main,,
All,HC meal,Time_360,HMDB0011503,LPE 16:0/0:0,0.240930950395024,0.0185525463191524,1.17170350104486e-06,,Main,0.204567959609485,0.277293941180563
All,HC meal,Time_(joint),HMDB0011503,LPE 16:0/0:0,,,,1.17170350104486e-06,Main,,
All,HC meal,Time_360,HMDB0034146,Stearamide,-0.0175420774302748,0.0726130359065086,0.812172159011682,,Main,-0.159863627807032,0.124779472946482
All,HC meal,Time_(joint),HMDB0034146,Stearamide,,,,0.812172159011682,Main,,
All,HC meal,Time_360,HMDB0010393,LPC 20:3/0:0,0.301359776275361,0.034524435791703,2.31909548157836e-05,,Main,0.233691882123623,0.369027670427098
All,HC meal,Time_(joint),HMDB0010393,LPC 20:3/0:0,,,,2.31909548157836e-05,Main,,
All,HC meal,Time_360,HMDB0011516,LPE 20:3/0:0,0.64132440936241,0.0359556491090926,9.99761224510054e-08,,Main,0.570851337108589,0.711797481616232
All,HC meal,Time_(joint),HMDB0011516,LPE 20:3/0:0,,,,9.99761224510054e-08,Main,,
All,HC meal,Time_360,HMDB0011563,MG 15:0,0.0421904016208335,0.0264074551399845,0.148783528236555,,Main,-0.00956821045353613,0.0939490136952032
All,HC meal,Time_(joint),HMDB0011563,MG 15:0,,,,0.148783528236555,Main,,
All,HC meal,Time_360,HMDB0029377,Piperine,-0.0853555509679546,0.12734897045276,0.512257650264411,,Main,-0.334959533055363,0.164248431119454
All,HC meal,Time_(joint),HMDB0029377,Piperine,,,,0.512257650264411,Main,,
All,HC meal,Time_360,HMDB0010403,LPC 22:5/0:0,0.493414316458522,0.0482026905830963,7.12837367992655e-06,,Main,0.398937042915653,0.587891590001391
All,HC meal,Time_(joint),HMDB0010403,LPC 22:5/0:0,,,,7.12837367992654e-06,Main,,
All,HC meal,Time_360,HMDB0002815,LPC 18:1/0:0,0.123482698102123,0.0318697585721459,0.00471057560623753,,Main,0.0610179713007173,0.185947424903529
All,HC meal,Time_(joint),HMDB0002815,LPC 18:1/0:0,,,,0.00471057560623753,Main,,
All,HC meal,Time_360,HMDB0011568,MG 18:2,0.110085151292622,0.0835966466485299,0.224354773495256,,Main,-0.0537642761384961,0.273934578723741
All,HC meal,Time_(joint),HMDB0011568,MG 18:2,,,,0.224354773495256,Main,,
All,HC meal,Time_360,HMDB0011506,LPE 18:1/0:0,0.447595287495422,0.0328800538855116,8.15628024857468e-07,,Main,0.38315038187982,0.512040193111025
All,HC meal,Time_(joint),HMDB0011506,LPE 18:1/0:0,,,,8.1562802485747e-07,Main,,
All,HC meal,Time_360,HMDB0000122,Hexose,0.157360774395556,0.0300326057380816,0.000783612293553322,,Main,0.0984968671489164,0.216224681642196
All,HC meal,Time_(joint),HMDB0000122,Hexose,,,,0.000783612293553322,Main,,
All,HC meal,Time_360,HMDB0012108,LPC 17:0/0:0,0.0223125540787679,0.016314840784055,0.208612987531048,,Main,-0.00966453385797981,0.0542896420155156
All,HC meal,Time_(joint),HMDB0012108,LPC 17:0/0:0,,,,0.208612987531048,Main,,
All,HC meal,Time_360,HMDB0010401,LPC 22:4/0:0,0.254070673452108,0.0627553189564886,0.00369142139274395,,Main,0.131070248297391,0.377071098606826
All,HC meal,Time_(joint),HMDB0010401,LPC 22:4/0:0,,,,0.00369142139274395,Main,,
All,HC meal,Time_360,HMDB0010407,LPC P-16:0/0:0,0.0340634948226371,0.0271823824481297,0.245537704905114,,Main,-0.0192139747756971,0.0873409644209714
All,HC meal,Time_(joint),HMDB0010407,LPC P-16:0/0:0,,,,0.245537704905114,Main,,
All,HC meal,Time_360,HMDB0243890,LPC O-16:0/0:0,-0.0151896142383402,0.0361555137269536,0.685455172222615,,Main,-0.0860544211431693,0.0556751926664888
All,HC meal,Time_(joint),HMDB0243890,LPC O-16:0/0:0,,,,0.685455172222615,Main,,
All,HC meal,Time_360,HMDB0010392,LPC 20:2/0:0,0.220692216123774,0.0538134518033681,0.00343272983106279,,Main,0.115217850589173,0.326166581658375
All,HC meal,Time_(joint),HMDB0010392,LPC 20:2/0:0,,,,0.00343272983106279,Main,,
All,HC meal,Time_360,HMDB0011564,MG 16:0,0.0119373131429702,0.0133824773885292,0.398422266500624,,Main,-0.0142923425385471,0.0381669688244874
All,HC meal,Time_(joint),HMDB0011564,MG 16:0,,,,0.398422266500624,Main,,
All,HC meal,Time_360,HMDB0000063,Cortisol,-3.82223606610271e-05,0.0219073446325399,0.998650631442693,,Main,-0.0429766178404393,0.0429001731191173
All,HC meal,Time_(joint),HMDB0000063,Cortisol,,,,0.998650631442693,Main,,
All,HC meal,Time_360,HMDB0002802,Cortisone,-0.103070040979016,0.0648285363961322,0.150523975616134,,Main,-0.230133972315436,0.0239938903574027
All,HC meal,Time_(joint),HMDB0002802,Cortisone,,,,0.150523975616134,Main,,
All,HC meal,Time_360,HMDB0013648,Palmitoleoyl-EA,0.0892191178077913,0.0649794367806838,0.188679125558082,,Main,-0.0381405782823489,0.216578813897932
All,HC meal,Time_(joint),HMDB0013648,Palmitoleoyl-EA,,,,0.188679125558082,Main,,
All,HC meal,Time_360,HMDB0011128,LPC 0:0/18:0,0.0308115307999902,0.0457714170655334,0.519813587915252,,Main,-0.0589004466484554,0.120523508248436
All,HC meal,Time_(joint),HMDB0011128,LPC 0:0/18:0,,,,0.519813587915252,Main,,
